时间段,数量(张),平均间隔(秒),速度(张/20分钟),最早时间,最晚时间
2025-12-04 01:00,1,0.0,1.00,01:09:01,01:09:01
2025-12-06 17:40,2,6.3,2.00,17:59:11,17:59:18
2025-12-06 18:00,14,66.8,14.00,18:03:05,18:17:33
2025-12-06 18:20,7,97.6,7.00,18:22:04,18:31:49
2025-12-06 18:40,12,39.8,12.00,18:40:54,18:48:12
2025-12-07 03:00,7,59.7,7.00,03:04:57,03:10:55
2025-12-07 08:00,20,33.9,20.00,08:09:11,08:19:55
2025-12-07 08:20,28,41.7,28.00,08:20:16,08:39:01
2025-12-07 08:40,40,28.7,40.00,08:40:06,08:58:44
2025-12-07 09:00,17,74.0,17.00,09:00:00,09:19:44
2025-12-07 09:20,24,49.4,24.00,09:20:51,09:39:47
2025-12-07 09:40,16,69.5,16.00,09:40:47,09:58:10
2025-12-07 10:00,21,55.5,21.00,10:00:37,10:19:07
2025-12-07 10:20,12,79.7,12.00,10:20:32,10:35:09
2025-12-07 10:40,19,62.2,19.00,10:40:04,10:58:43
2025-12-07 11:00,15,66.1,15.00,11:02:06,11:17:31
2025-12-07 11:20,14,72.2,14.00,11:23:57,11:39:36
2025-12-07 11:40,13,97.5,13.00,11:40:26,11:59:57
2025-12-07 12:00,17,68.0,17.00,12:00:51,12:19:00
2025-12-07 12:20,18,65.0,18.00,12:20:16,12:38:40
2025-12-07 12:40,17,69.4,17.00,12:41:23,12:59:54
2025-12-07 13:00,15,73.8,15.00,13:01:11,13:18:25
2025-12-07 13:20,12,82.1,12.00,13:22:08,13:37:11
2025-12-07 15:40,19,23.9,19.00,15:52:12,15:59:23
2025-12-07 16:00,56,20.5,56.00,16:01:10,16:19:56
2025-12-07 16:20,47,25.5,47.00,16:20:04,16:39:37
2025-12-07 16:40,48,25.2,48.00,16:40:06,16:59:50
2025-12-07 17:00,46,25.7,46.00,17:00:25,17:19:43
2025-12-07 17:20,33,36.3,33.00,17:20:05,17:39:25
2025-12-07 17:40,32,36.8,32.00,17:40:29,17:59:31
2025-12-07 18:00,25,45.5,25.00,18:01:16,18:19:27
2025-12-07 18:20,25,44.9,25.00,18:21:14,18:39:12
2025-12-07 18:40,13,85.5,13.00,18:41:05,18:58:11
2025-12-07 19:00,23,52.9,23.00,19:00:01,19:19:25
2025-12-07 19:20,16,71.7,16.00,19:21:17,19:39:12
2025-12-07 19:40,17,63.2,17.00,19:41:02,19:57:52
2025-12-07 20:00,11,67.9,11.00,20:01:43,20:13:02
2025-12-07 20:20,30,34.7,30.00,20:23:03,20:39:48
2025-12-07 20:40,19,48.5,19.00,20:40:33,20:55:06
2025-12-08 08:40,13,70.1,13.00,08:44:33,08:58:34
2025-12-08 09:00,13,52.8,13.00,09:06:19,09:16:52
2025-12-08 09:20,4,332.3,4.00,09:20:03,09:36:40
2025-12-08 09:40,7,110.0,7.00,09:45:24,09:56:24
2025-12-08 10:00,7,106.8,7.00,10:06:29,10:17:10
2025-12-08 10:20,10,118.1,10.00,10:20:43,10:38:25
2025-12-08 10:40,10,105.1,10.00,10:41:29,10:57:15
2025-12-08 11:00,17,59.5,17.00,11:01:14,11:17:06
2025-12-08 11:20,5,35.2,5.00,11:34:50,11:37:11
2025-12-08 12:00,17,57.0,17.00,12:02:11,12:17:23
2025-12-08 12:20,8,103.1,8.00,12:27:16,12:39:18
2025-12-08 12:40,11,98.7,11.00,12:42:04,12:58:30
2025-12-08 13:00,7,135.3,7.00,13:03:22,13:16:53
2025-12-08 13:20,8,168.9,8.00,13:20:11,13:39:54
2025-12-08 13:40,28,42.7,28.00,13:40:10,13:59:22
2025-12-08 14:00,19,63.2,19.00,14:00:05,14:19:03
2025-12-08 14:20,34,29.3,34.00,14:22:16,14:38:24
2025-12-08 14:40,6,19.4,6.00,14:40:02,14:41:39
